1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1
x2,x2,x2,x2,x2,x2,x2,x2,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1
x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x1,x1,x1,x1,x1,x1
x4,x4,0,0,0,0,0,0,0,0,0,0,0,0,0,x4,x4,x4,x4,x4,0,0,0,0,0,0,0,0,0,0,0,0,0
x5,x5,x5,x5,x5,0,0,0,0,0,0,0,0,0,0,x5,x5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x6,x6,0,0,0,0,0,0,x6,x6,0,0,x6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x1/3
x8,x8,x8,x8,x8,x8,x8,x8,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x7,x1/3
x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x9,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x1/3,x7,x7,x7,x7,x7,x1/3
x10,x10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x11,x11,x11,x11,x11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12,x12,0,0,0,0,0,0,-x6,-x6,0,0,-x6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x13,x13,0,0,0,0,0,0,0,0,0,0,0,0,0,-x4,-x4,-x4,-x4,-x4,0,0,0,0,0,0,0,0,0,0,0,0,0
x14,x14,x14,x14,x14,0,0,0,0,0,0,0,0,0,0,-x5,-x5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x15,x15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
