1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11
b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12
b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b12,b13,b12,b12,b12
b14,b14,0,0,0,0,0,0,0,0,0,0,0,0,0,b14,b14,b14,b14,b14,0,0,0,0,0,0,0,0,0,0,0,0,0
b15,b15,b15,b15,b15,0,0,0,0,0,0,0,0,0,0,b15,b15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b16,b16,0,0,0,0,0,0,b16,b16,0,0,b16,0,0,b16,b16,0,0,0,b16,0,b16,0,b16,0,0,0,0,0,0,0,0
b21,b21,b21,b21,b21,b21,b21,b21,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b12,b13,b12,b13,b12,b12,b12
b22,b22,b22,b22,b22,b22,b22,b22,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11
b23,b23,b23,b23,b23,b23,b23,b23,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b13,b12,b12,b12,b12,b12,b12
b24,b24,0,0,0,0,0,0,0,0,0,0,0,0,0,-b14,-b14,-b14,-b14,-b14,0,0,0,0,0,0,0,0,0,0,0,0,0
b25,b25,b25,b25,b25,0,0,0,0,0,0,0,0,0,0,-b15,-b15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b26,b26,0,0,0,0,0,0,-b16,-b16,0,0,-b16,0,0,-b16,-b16,0,0,0,-b16,0,-b16,0,-b16,0,0,0,0,0,0,0,0
b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b12,b12,b12,b12,b12,b12
b32,b32,b32,b32,b32,b32,b32,b32,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b31,b13,b12,b13,b12,b12,b12
b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b33,b11,b11,b11,b11,b11,b11
b34,b34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b35,b35,b35,b35,b35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b36,b36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b41,b41,0,0,0,0,0,0,0,0,0,0,0,0,0,b41,b41,b41,b41,b41,0,0,0,0,0,0,0,0,0,0,0,0,0
b42,b42,0,0,0,0,0,0,0,0,0,0,0,0,0,-b41,-b41,-b41,-b41,-b41,0,0,0,0,0,0,0,0,0,0,0,0,0
b43,b43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b44,b11/2 - b12/2
b45,b45,0,0,0,0,0,0,b45,b45,0,0,b45,0,0,b45,b45,0,0,0,b45,0,b45,0,b45,0,0,0,0,0,0,0,0
b46,b46,b46,b46,b46,0,0,0,0,0,0,0,0,0,0,b46,b46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b51,b51,b51,b51,b51,0,0,0,0,0,0,0,0,0,0,-b46,-b46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
