1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d1566,0,0,d1566,0,0,d1566,0,d1566,d1566,0,0,0,d1566,0,2*d1146 - d1125/2 - d1115/4 + (3*d1225)/4,0,0,2*d1146 - d1125/2 - d1115/4 + (3*d1225)/4,0,0,0,2*d1146 - d1125/2 - d1115/4 + (3*d1225)/4,0,0,2*d1146 - d1125/2 - d1115/4 + (3*d1225)/4,0,0,0,0,0,0,0
d1666,0,d1666,0,0,0,0,0,0,0,0,0,0,0,0,(3*d1116)/4 - (3*d1126)/2 + (3*d1226)/4,0,0,(3*d1116)/4 - (3*d1126)/2 + (3*d1226)/4,0,(3*d1116)/4 - (3*d1126)/2 + (3*d1226)/4,(3*d1116)/4 - (3*d1126)/2 + (3*d1226)/4,0,0,0,0,0,0,0,0,0,0,0
d2111,0,d2111,0,0,0,0,0,0,0,0,0,0,0,0,(3*d1116)/4 + (9*d1226)/4,0,0,(3*d1116)/4 + (9*d1226)/4,0,(3*d1116)/4 + (9*d1226)/4,(3*d1116)/4 + (9*d1226)/4,0,0,0,0,0,0,0,0,0,0,0
d2112,0,d2112,0,0,0,0,0,0,0,0,0,0,0,0,2*d1126 - d1116/4 - (3*d1226)/4,0,0,2*d1126 - d1116/4 - (3*d1226)/4,0,2*d1126 - d1116/4 - (3*d1226)/4,2*d1126 - d1116/4 - (3*d1226)/4,0,0,0,0,0,0,0,0,0,0,0
d2113,0,d2113,0,0,0,0,0,0,0,0,0,0,0,0,d1136/2 + (3*d1236)/2,0,0,d1136/2 + (3*d1236)/2,0,d1136/2 + (3*d1236)/2,d1136/2 + (3*d1236)/2,0,0,0,0,0,0,0,0,0,0,0
d2114,0,0,d2114,0,0,d2114,0,-d1225,d1225,0,0,0,d1225,0,2*d1146 - d1115/2 + (3*d1225)/2,0,0,2*d1146 - d1115/2 + (3*d1225)/2,0,0,0,2*d1146 - d1115/2 + (3*d1225)/2,0,0,2*d1146 - d1115/2 + (3*d1225)/2,0,0,0,0,0,0,0
d2115,0,d2115,0,0,d2115,0,0,d1224,-d1224,d1224,-d1224,0,0,0,d1114/2 + 2*d1156 - (3*d1224)/2,0,d1114/2 + 2*d1156 - (3*d1224)/2,0,0,0,0,d1114/2 + 2*d1156 - (3*d1224)/2,d1114/2 + 2*d1156 - (3*d1224)/2,0,0,0,d1334,-d1224,0,d1224,0,0
d2116,0,0,d2116,0,0,0,0,0,0,0,0,0,0,0,- d1111/3 - (3*d1112)/2 - (3*d1122)/2,0,- d1111/3 - (3*d1112)/2 - (3*d1122)/2,0,0,- d1111/3 - (3*d1112)/2 - (3*d1122)/2,0,0,0,0,0,0,0,0,0,0,0,0
d2122,0,d2122,0,0,0,0,0,0,0,0,0,0,0,0,(3*d1116)/4 - 2*d1126 + d1226/4,0,0,(3*d1116)/4 - 2*d1126 + d1226/4,0,(3*d1116)/4 - 2*d1126 + d1226/4,(3*d1116)/4 - 2*d1126 + d1226/4,0,0,0,0,0,0,0,0,0,0,0
d2123,0,d2123,0,0,0,0,0,0,0,0,0,0,0,0,d1136/2 - d1236/2,0,0,d1136/2 - d1236/2,0,d1136/2 - d1236/2,d1136/2 - d1236/2,0,0,0,0,0,0,0,0,0,0,0
d2124,0,0,d2124,0,0,d2124,0,-d1125,d1125,0,0,0,d1125,0,d1115/2 + d1125 - 2*d1146 - d1225/2,0,0,d1115/2 + d1125 - 2*d1146 - d1225/2,0,0,0,d1115/2 + d1125 - 2*d1146 - d1225/2,0,0,d1115/2 + d1125 - 2*d1146 - d1225/2,0,0,0,0,0,0,0
d2125,0,d2125,0,0,d2125,0,0,d1124,-d1124,d1124,-d1124,0,0,0,d1224/2 - d1124 - 2*d1156 - d1114/2,0,d1224/2 - d1124 - 2*d1156 - d1114/2,0,0,0,0,d1224/2 - d1124 - 2*d1156 - d1114/2,d1224/2 - d1124 - 2*d1156 - d1114/2,0,0,0,d1134,-d1124,0,d1124,0,0
d2126,0,0,d2126,0,0,0,0,0,0,0,0,0,0,0,- d1111/6 - d1112/2,0,- d1111/6 - d1112/2,0,0,- d1111/6 - d1112/2,0,0,0,0,0,0,0,0,0,0,0,0
d2133,0,d2133,0,0,0,0,0,0,0,0,0,0,0,0,d1336,0,0,d1336,0,d1336,d1336,0,0,0,0,0,0,0,0,0,0,0
d2134,0,0,d2134,0,0,d2134,0,-d1235,d1235,0,0,0,d1235,0,d1235,0,0,d1235,0,0,0,d1235,0,0,d1235,0,0,0,0,0,0,0
d2135,0,d2135,0,0,d2135,0,0,d1234,-d1234,d1234,-d1234,0,0,0,-d1234,0,-d1234,0,0,0,0,-d1234,-d1234,0,0,0,d1234,0,0,d1234,0,0
d2136,0,0,d2136,0,0,0,0,0,0,0,0,0,0,0,- d1113/2 - (3*d1123)/2,0,- d1113/2 - (3*d1123)/2,0,0,- d1113/2 - (3*d1123)/2,0,0,0,0,0,0,0,0,0,0,0,0
d2144,0,d2144,0,0,0,0,0,0,0,0,0,0,0,0,d1145/2 - (3*d1245)/2 + d1446,0,0,d1145/2 - (3*d1245)/2 + d1446,0,d1145/2 - (3*d1245)/2 + d1446,d1145/2 - (3*d1245)/2 + d1446,0,0,0,0,0,0,0,0,0,0,0
d2145,0,0,d2145,0,0,0,0,0,0,0,0,0,0,0,d1144/2 + d1155/2 + d1244,0,d1144/2 + d1155/2 + d1244,0,0,d1144/2 + d1155/2 + d1244,0,0,0,0,0,0,0,0,0,0,0,0
d2146,0,d2146,0,0,d2146,0,0,d1256,-d1256,d1256,-d1256,0,0,0,-d1156,0,-d1156,0,0,0,0,-d1156,-d1156,0,0,0,d1356,-d1256,0,d1256,0,0
d2155,0,d2155,0,0,0,0,0,0,0,0,0,0,0,0,d1145/2 + d1245/2 + d1446,0,0,d1145/2 + d1245/2 + d1446,0,d1145/2 + d1245/2 + d1446,d1145/2 + d1245/2 + d1446,0,0,0,0,0,0,0,0,0,0,0
d2156,0,0,d2156,0,0,d2156,0,-d1246,d1246,0,0,0,d1246,0,d1146,0,0,d1146,0,0,0,d1146,0,0,d1146,0,0,0,0,0,0,0
d2166,0,d2166,0,0,0,0,0,0,0,0,0,0,0,0,d1116/2 - d1126/2,0,0,d1116/2 - d1126/2,0,d1116/2 - d1126/2,d1116/2 - d1126/2,0,0,0,0,0,0,0,0,0,0,0
d2222,0,d2222,0,0,0,0,0,0,0,0,0,0,0,0,- (9*d1116)/4 - (3*d1226)/4,0,0,- (9*d1116)/4 - (3*d1226)/4,0,- (9*d1116)/4 - (3*d1226)/4,- (9*d1116)/4 - (3*d1226)/4,0,0,0,0,0,0,0,0,0,0,0
d2223,0,d2223,0,0,0,0,0,0,0,0,0,0,0,0,- (3*d1136)/2 - d1236/2,0,0,- (3*d1136)/2 - d1236/2,0,- (3*d1136)/2 - d1236/2,- (3*d1136)/2 - d1236/2,0,0,0,0,0,0,0,0,0,0,0
d2224,0,0,d2224,0,0,d2224,0,-d1115,d1115,0,0,0,d1115,0,d1115/2 + 2*d1146 + d1225/2,0,0,d1115/2 + 2*d1146 + d1225/2,0,0,0,d1115/2 + 2*d1146 + d1225/2,0,0,d1115/2 + 2*d1146 + d1225/2,0,0,0,0,0,0,0
d2225,0,d2225,0,0,d2225,0,0,d1114,-d1114,d1114,-d1114,0,0,0,2*d1156 - d1114/2 - d1224/2,0,2*d1156 - d1114/2 - d1224/2,0,0,0,0,2*d1156 - d1114/2 - d1224/2,2*d1156 - d1114/2 - d1224/2,0,0,0,d1114,0,0,d1114,0,0
d2226,0,0,d2226,0,0,0,0,0,0,0,0,0,0,0,d1112/2 - d1111/3 + d1122/2,0,d1112/2 - d1111/3 + d1122/2,0,0,d1112/2 - d1111/3 + d1122/2,0,0,0,0,0,0,0,0,0,0,0,0
d2233,0,d2233,0,0,0,0,0,0,0,0,0,0,0,0,-d1336,0,0,-d1336,0,-d1336,-d1336,0,0,0,0,0,0,0,0,0,0,0
d2234,0,0,d2234,0,0,d2234,0,-d1135,d1135,0,0,0,d1135,0,d1135,0,0,d1135,0,0,0,d1135,0,0,d1135,0,0,0,0,0,0,0
d2235,0,d2235,0,0,d2235,0,0,d1134,-d1134,d1134,-d1134,0,0,0,-d1134,0,-d1134,0,0,0,0,-d1134,-d1134,0,0,0,d1124,d1124,0,d1124,0,0
d2236,0,0,d2236,0,0,0,0,0,0,0,0,0,0,0,d1123/2 - d1113/2,0,d1123/2 - d1113/2,0,0,d1123/2 - d1113/2,0,0,0,0,0,0,0,0,0,0,0,0
d2244,0,d2244,0,0,0,0,0,0,0,0,0,0,0,0,d1245/2 - (3*d1145)/2 - d1446,0,0,d1245/2 - (3*d1145)/2 - d1446,0,d1245/2 - (3*d1145)/2 - d1446,d1245/2 - (3*d1145)/2 - d1446,0,0,0,0,0,0,0,0,0,0,0
d2245,0,0,d2245,0,0,0,0,0,0,0,0,0,0,0,d1144/2 - d1155/2,0,d1144/2 - d1155/2,0,0,d1144/2 - d1155/2,0,0,0,0,0,0,0,0,0,0,0,0
d2246,0,d2246,0,0,d2246,0,0,d1156,-d1156,d1156,-d1156,0,0,0,d1114/2 + d1156 - d1224/2,0,d1114/2 + d1156 - d1224/2,0,0,0,0,d1114/2 + d1156 - d1224/2,d1114/2 + d1156 - d1224/2,0,0,0,d1156,0,0,d1156,0,0
d2255,0,d2255,0,0,0,0,0,0,0,0,0,0,0,0,d1145/2 + d1245/2 - d1446,0,0,d1145/2 + d1245/2 - d1446,0,d1145/2 + d1245/2 - d1446,d1145/2 + d1245/2 - d1446,0,0,0,0,0,0,0,0,0,0,0
d2256,0,0,d2256,0,0,d2256,0,-d1146,d1146,0,0,0,d1146,0,d1115/2 - d1146 - d1225/2,0,0,d1115/2 - d1146 - d1225/2,0,0,0,d1115/2 - d1146 - d1225/2,0,0,d1115/2 - d1146 - d1225/2,0,0,0,0,0,0,0
d2266,0,d2266,0,0,0,0,0,0,0,0,0,0,0,0,d1126/2 - d1226/2,0,0,d1126/2 - d1226/2,0,d1126/2 - d1226/2,d1126/2 - d1226/2,0,0,0,0,0,0,0,0,0,0,0
d2333,0,d2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2334,0,0,d2334,0,0,d2334,0,-d1335,d1335,0,0,0,d1335,0,d1335,0,0,d1335,0,0,0,d1335,0,0,d1335,0,0,0,0,0,0,0
d2335,0,d2335,0,0,d2335,0,0,d1334,-d1334,d1334,-d1334,0,0,0,-d1334,0,-d1334,0,0,0,0,-d1334,-d1334,0,0,0,d1224,d1224,0,d1224,0,0
d2336,0,0,d2336,0,0,0,0,0,0,0,0,0,0,0,-d1133,0,-d1133,0,0,-d1133,0,0,0,0,0,0,0,0,0,0,0,0
d2344,0,d2344,0,0,0,0,0,0,0,0,0,0,0,0,-d1345,0,0,-d1345,0,-d1345,-d1345,0,0,0,0,0,0,0,0,0,0,0
d2345,0,0,d2345,0,0,0,0,0,0,0,0,0,0,0,d1344,0,d1344,0,0,d1344,0,0,0,0,0,0,0,0,0,0,0,0
