1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 a111, a111, a111, a111, a111, a111, a111, a111,  a111,  a111, a111, a111,  a111, a111, a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111,                                  a111, a111, a111, a111, a111, a111,
 a112, a112, a112, a112, a112, a112, a112, a112,  a112,  a112, a112, a112,  a112, a112, a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112,                                  a112, a112, a112, a112, a112, a112,
 a113, a113, a113, a113, a113, a113, a113, a113,  a113,  a113, a113, a113,  a113, a113, a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113,                                  a113, a113, a112, a113, a112, a112,
 a114, a114,0,0,0,0,0,0,0,0,0,0,0,0,0,                                  a114,                                  a114,                                  a114,                                  a114,                                  a114,0,0,0,0,0,0,0,0,0,0,0,0,
 a115, a115, a115, a115, a115,0,0,0,0,0,0,0,0,0,0,                                  a115,                                  a115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 a116, a116,0,0,0,0,0,0,  a116,  a116,0,0,  a116,0,0,                                  a116,                                  a116,0,0,0,                                  a116,0,                                  a116,0,                                  a116,0,0,0,0,0,0,0,
 a122, a122, a122, a122, a122, a122, a122, a122,  a122,  a122, a122, a122,  a122, a122, a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122,                                  a122, a122, a122, a122, a122, a122,
 a123, a123, a123, a123, a123, a123, a123, a123,  a123,  a123, a123, a123,  a123, a123, a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123, a123, a123, a123, a123, a123,
 a124, a124,0,0,0,0,0,0,0,0,0,0,0,0,0,                                  a124,                                  a124,                                  a124,                                  a124,                                  a124,0,0,0,0,0,0,0,0,0,0,0,0,
 a125, a125, a125, a125, a125,0,0,0,0,0,0,0,0,0,0,                                  a125,                                  a125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 a126, a126,0,0,0,0,0,0,  a126,  a126,0,0,  a126,0,0,                                  a126,                                  a126,0,0,0,                                  a126,0,                                  a126,0,                                  a126,0,0,0,0,0,0,0,
 a133, a133, a133, a133, a133, a133, a133, a133,  a133,  a133, a133, a133,  a133, a133, a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133,                                  a133, a133, a122, a133, a122, a122,
 a134, a134,0,0,0,0,0,0,0,0,0,0,0,0,0,                                  a134,                                  a134,                                  a134,                                  a134,                                  a134,0,0,0,0,0,0,0,0,0,0,0,0,
 a135, a135, a135, a135, a135,0,0,0,0,0,0,0,0,0,0,                                  a135,                                  a135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 a136, a136,0,0,0,0,0,0,  a136,  a136,0,0,  a136,0,0,                                  a136,                                  a136,0,0,0,                                  a136,0,                                  a136,0,                                  a136,0,0,0,0,0,0,0,
 a144, a144, a144, a144, a144, a144, a144, a144,  a144,  a144, a144, a144,  a144, a144, a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144,                                  a144, a144, a144, a144, a144, a144,
 a145, a145,0,0,0,0,0,0,  a145,  a145,0,0,  a145,0,0,                                  a145,                                  a145,0,0,0,                                  a145,0,                                  a145,0,                                  a145,0,0,0,0,0,0,0,
 a146, a146, a146, a146, a146,0,0,0,0,0,0,0,0,0,0,                                  a146,                                  a146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 a155, a155, a155, a155, a155, a155, a155, a155,  a155,  a155, a155, a155,  a155, a155, a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155,                                  a155, a155, a155, a155, a155, a155,
 a156, a156,0,0,0,0,0,0,0,0,0,0,0,0,0,                                  a156,                                  a156,                                  a156,                                  a156,                                  a156,0,0,0,0,0,0,0,0,0,0,0,0,
 a166, a166, a166, a166, a166, a166, a166, a166,  a166,  a166, a166, a166,  a166, a166, a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166,                                  a166, a166, a155, a166, a155, a155,
 a211, a211, a211, a211, a211, a211, a211, a211,  a122,  a122, a122, a122,  a122, a122, a122,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166,   a112/2 - a111/4 + (3*a122)/4 + a166, a133, a122, a133, a122, a122,
 a212, a212, a212, a212, a212, a212, a212, a212,  a112,  a112, a112, a112,  a112, a112, a112,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166,       a111/4 + a112/2 + a122/4 - a166, a113, a112, a113, a112, a112,
 a213, a213, a213, a213, a213, a213, a213, a213,  a123,  a123, a123, a123,  a123, a123, a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123,                                  a123, a123, a123, a123, a123, a123,
 a214, a214,0,0,0,0,0,0,0,0,0,0,0,0,0,                a156 - a124/2 - a114/2,                a156 - a124/2 - a114/2,                a156 - a124/2 - a114/2,                a156 - a124/2 - a114/2,                a156 - a124/2 - a114/2,0,0,0,0,0,0,0,0,0,0,0,0,
 a215, a215, a215, a215, a215,0,0,0,0,0,0,0,0,0,0,              - a115/2 - a125/2 - a146,              - a115/2 - a125/2 - a146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 a216, a216,0,0,0,0,0,0, -a126, -a126,0,0, -a126,0,0,                                 -a116,                                 -a116,0,0,0,                                 -a116,0,                                 -a116,0,                                 -a116,0,0,0,0,0,0,0,
