1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111,c111
c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112,c112
c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c113,c112,c113,c112,c112,c112
c114,c114,0,0,0,0,0,0,0,0,0,0,0,0,0,c114,c114,c114,c114,c114,0,0,0,0,0,0,0,0,0,0,0,0,0
c115,c115,c115,c115,c115,0,0,0,0,0,0,0,0,0,0,c115,c115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c116,c116,0,0,0,0,0,0,c116,c116,0,0,c116,0,0,c116,c116,0,0,0,c116,0,c116,0,c116,0,0,0,0,0,0,0,0
c122,c122,c122,c122,c122,c122,c122,c122,c112,c112,c112,c112,c112,c112,c112,c122,c122,c122,c122,c122,c122,c122,c122,c122,c122,c122,c122,c113,c112,c113,c112,c112,c112
c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123,c123
c124,c124,0,0,0,0,0,0,0,0,0,0,0,0,0,c124,c124,c124,c124,c124,0,0,0,0,0,0,0,0,0,0,0,0,0
c125,c125,c125,c125,c125,0,0,0,0,0,0,0,0,0,0,c125,c125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c126,c126,0,0,0,0,0,0,0,0,0,0,0,0,0,-c116,-c116,0,0,0,-c116,0,-c116,0,-c116,0,0,0,0,0,0,0,0
c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c133,c112,c112,c112,c112,c112,c112
c134,c134,0,0,0,0,0,0,0,0,0,0,0,0,0,c134,c134,c134,c134,c134,0,0,0,0,0,0,0,0,0,0,0,0,0
c135,c135,c135,c135,c135,0,0,0,0,0,0,0,0,0,0,c135,c135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c136,c136,0,0,0,0,0,0,c136,c136,0,0,c136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c144,c112/2 - c123/2
c145,c145,0,0,0,0,0,0,c145,c145,0,0,c145,0,0,c145,c145,0,0,0,c145,0,c145,0,c145,0,0,0,0,0,0,0,0
c146,c146,c146,c146,c146,0,0,0,0,0,0,0,0,0,0,- c115/2 - 3*c125/2,- c115/2 - 3*c125/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c155,c111/4 - c112/4
