1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$\bar{6}$,$3m$,$\bar{3}m$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$
e111,0,0,e111,0,0,0,0,0,0,0,0,0,0,0,e111,0,e111,e111,0,0,0,0,0,0,0,0,0,0,0,0,0
e112,0,0,e112,0,0,0,0,0,0,0,0,0,0,0,e112,0,e112,e112,0,0,0,0,0,0,0,0,0,0,0,0,0
e113,0,0,e113,0,0,0,0,0,0,0,0,0,0,0,e113,0,e113,e113,0,0,0,0,0,0,0,0,0,0,0,0,0
e114,0,e114,0,0,e114,0,0,e114,e114,e114,e114,0,0,0,e114,0,e114,0,0,0,0,e114,e114,0,0,0,e114,0,0,e114,0
e115,0,0,e115,0,0,e115,0,e115,e115,0,0,0,e115,0,e115,0,0,0,e115,0,0,e115,0,0,e115,0,0,0,0,0,0
e116,0,e116,0,0,0,0,0,0,0,0,0,0,0,0,e116,0,0,e116,e116,0,e116,0,0,0,0,0,0,0,0,0,0
e122,0,0,e122,0,0,0,0,0,0,0,0,0,0,0,- e111 - 2*e112,0,- e111 - 2*e112,- e111 - 2*e112,0,0,0,0,0,0,0,0,0,0,0,0,0
e123,0,0,e123,0,0,0,0,0,0,0,0,0,0,0,-e113,0,-e113,-e113,0,0,0,0,0,0,0,0,0,0,0,0,0
e124,0,e124,0,0,e124,0,0,e124,e124,e124,e124,0,0,0,e124,0,e124,0,0,0,0,e124,e124,0,0,0,e124,e124,0,e124,0
e125,0,0,e125,0,0,e125,0,e125,e125,0,0,0,e125,0,e125,0,0,0,e125,0,0,e125,0,0,e125,0,0,0,0,0,0
e126,0,e126,0,0,0,0,0,0,0,0,0,0,0,0,e126,0,0,e126,e126,0,e126,0,0,0,0,0,0,0,0,0,0
e133,0,0,e133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e134,0,e134,0,0,e134,0,0,e134,e134,e134,e134,0,0,0,e134,0,e134,0,0,0,0,e134,e134,0,0,0,e134,-e124,0,e124,0
e135,0,0,e135,0,0,e135,0,e135,e135,0,0,0,e135,0,e135,0,0,0,e135,0,0,e135,0,0,e135,0,0,0,0,0,0
e136,0,e136,0,0,0,0,0,0,0,0,0,0,0,0,e136,0,0,e136,e136,0,e136,0,0,0,0,0,0,0,0,0,0
e144,0,0,e144,0,0,0,0,0,0,0,0,0,0,0,e144,0,e144,e144,0,0,0,0,0,0,0,0,0,0,0,0,0
e145,0,e145,0,0,0,0,0,0,0,0,0,0,0,0,e145,0,0,e145,e145,0,e145,0,0,0,0,0,0,0,0,0,0
e146,0,0,e146,0,0,e146,0,e146,e146,0,0,0,e146,0,e115/2 - e125/2,0,0,0,e115/2 - e125/2,0,0,e115/2 - e125/2,0,0,e115/2 - e125/2,0,0,0,0,0,0
e155,0,0,e155,0,0,0,0,0,0,0,0,0,0,0,-e144,0,-e144,-e144,0,0,0,0,0,0,0,0,0,0,0,0,0
e156,0,e156,0,0,e156,0,0,e156,e156,e156,e156,0,0,0,e124/2 - e114/2,0,e124/2 - e114/2,0,0,0,0,e124/2 - e114/2,e124/2 - e114/2,0,0,0,e156,0,0,e156,0
e166,0,0,e166,0,0,0,0,0,0,0,0,0,0,0,e112,0,e112,e112,0,0,0,0,0,0,0,0,0,0,0,0,0
e211,0,e211,0,0,0,0,0,0,0,0,0,0,0,0,e116/2 + (3*e126)/2,0,0,e116/2 + (3*e126)/2,e116/2 + (3*e126)/2,0,e116/2 + (3*e126)/2,0,0,0,0,0,0,0,0,0,0
e212,0,e212,0,0,0,0,0,0,0,0,0,0,0,0,e116/2 - e126/2,0,0,e116/2 - e126/2,e116/2 - e126/2,0,e116/2 - e126/2,0,0,0,0,0,0,0,0,0,0
e213,0,e213,0,0,0,0,0,0,0,0,0,0,0,0,e136,0,0,e136,e136,0,e136,0,0,0,0,0,0,0,0,0,0
e214,0,0,e214,0,0,e214,0,-e125,e125,0,0,0,e125,0,e125,0,0,0,e125,0,0,e125,0,0,e125,0,0,0,0,0,0
e215,0,e215,0,0,e215,0,0,e124,-e124,e124,-e124,0,0,0,-e124,0,-e124,0,0,0,0,-e124,-e124,0,0,0,e134,-e124,0,e124,0
e216,0,0,e216,0,0,0,0,0,0,0,0,0,0,0,- e111/2 - (3*e112)/2,0,- e111/2 - (3*e112)/2,- e111/2 - (3*e112)/2,0,0,0,0,0,0,0,0,0,0,0,0,0
e222,0,e222,0,0,0,0,0,0,0,0,0,0,0,0,- (3*e116)/2 - e126/2,0,0,- (3*e116)/2 - e126/2,- (3*e116)/2 - e126/2,0,- (3*e116)/2 - e126/2,0,0,0,0,0,0,0,0,0,0
e223,0,e223,0,0,0,0,0,0,0,0,0,0,0,0,-e136,0,0,-e136,-e136,0,-e136,0,0,0,0,0,0,0,0,0,0
e224,0,0,e224,0,0,e224,0,-e115,e115,0,0,0,e115,0,e115,0,0,0,e115,0,0,e115,0,0,e115,0,0,0,0,0,0
e225,0,e225,0,0,e225,0,0,e114,-e114,e114,-e114,0,0,0,-e114,0,-e114,0,0,0,0,-e114,-e114,0,0,0,e114,0,0,e114,0
e226,0,0,e226,0,0,0,0,0,0,0,0,0,0,0,e112/2 - e111/2,0,e112/2 - e111/2,e112/2 - e111/2,0,0,0,0,0,0,0,0,0,0,0,0,0
e233,0,e233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e234,0,0,e234,0,0,e234,0,-e135,e135,0,0,0,e135,0,e135,0,0,0,e135,0,0,e135,0,0,e135,0,0,0,0,0,0
e235,0,e235,0,0,e235,0,0,e134,-e134,e134,-e134,0,0,0,-e134,0,-e134,0,0,0,0,-e134,-e134,0,0,0,e124,e124,0,e124,0
e236,0,0,e236,0,0,0,0,0,0,0,0,0,0,0,-e113,0,-e113,-e113,0,0,0,0,0,0,0,0,0,0,0,0,0
e244,0,e244,0,0,0,0,0,0,0,0,0,0,0,0,-e145,0,0,-e145,-e145,0,-e145,0,0,0,0,0,0,0,0,0,0
e245,0,0,e245,0,0,0,0,0,0,0,0,0,0,0,e144,0,e144,e144,0,0,0,0,0,0,0,0,0,0,0,0,0
e246,0,e246,0,0,e246,0,0,e156,-e156,e156,-e156,0,0,0,e114/2 - e124/2,0,e114/2 - e124/2,0,0,0,0,e114/2 - e124/2,e114/2 - e124/2,0,0,0,e156,0,0,e156,0
e255,0,e255,0,0,0,0,0,0,0,0,0,0,0,0,e145,0,0,e145,e145,0,e145,0,0,0,0,0,0,0,0,0,0
e256,0,0,e256,0,0,e256,0,-e146,e146,0,0,0,e146,0,e115/2 - e125/2,0,0,0,e115/2 - e125/2,0,0,e115/2 - e125/2,0,0,e115/2 - e125/2,0,0,0,0,0,0
e266,0,e266,0,0,0,0,0,0,0,0,0,0,0,0,e116/2 - e126/2,0,0,e116/2 - e126/2,e116/2 - e126/2,0,e116/2 - e126/2,0,0,0,0,0,0,0,0,0,0
e311,0,0,e311,0,0,e311,0,e311,e311,0,0,0,e311,0,e311,0,0,0,e311,0,0,e311,0,0,e311,0,0,0,0,0,0
e312,0,0,e312,0,0,e312,0,0,e312,0,0,0,e312,0,e312,0,0,0,e312,0,0,e312,0,0,e312,0,0,0,0,0,0
e313,0,0,e313,0,0,e313,0,e313,e313,0,0,0,e313,0,e313,0,0,0,e313,0,0,e313,0,0,e313,0,0,0,0,0,0
e314,0,e314,0,0,0,0,0,0,0,0,0,0,0,0,e314,0,0,e314,e314,0,e314,0,0,0,0,0,0,0,0,0,0
e315,0,0,e315,0,0,0,0,0,0,0,0,0,0,0,e315,0,e315,e315,0,0,0,0,0,0,0,0,0,0,0,0,0
