1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$\bar{6}$,$3m$,$\bar{3}m$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$
e316,0,e316,0,0,e316,0,0,e316,e316,e316,e316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e124,e124,0,e124,0
e322,0,0,e322,0,0,e322,0,-e311,e311,0,0,0,e311,0,e311,0,0,0,e311,0,0,e311,0,0,e311,0,0,0,0,0,0
e323,0,0,e323,0,0,e323,0,-e313,e313,0,0,0,e313,0,e313,0,0,0,e313,0,0,e313,0,0,e313,0,0,0,0,0,0
e324,0,e324,0,0,0,0,0,0,0,0,0,0,0,0,-e314,0,0,-e314,-e314,0,-e314,0,0,0,0,0,0,0,0,0,0
e325,0,0,e325,0,0,0,0,0,0,0,0,0,0,0,-e315,0,-e315,-e315,0,0,0,0,0,0,0,0,0,0,0,0,0
e326,0,e326,0,0,e326,0,0,e316,-e316,e316,-e316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e134,-e124,0,e124,0
e333,0,0,e333,0,0,e333,0,0,e333,0,0,0,e333,0,e333,0,0,0,e333,0,0,e333,0,0,e333,0,0,0,0,0,0
e334,0,e334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e335,0,0,e335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e336,0,e336,0,0,e336,0,0,e336,0,e336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e114,0,0,e114,0
e344,0,0,e344,0,0,e344,0,e344,e344,0,0,0,e344,0,e344,0,0,0,e344,0,0,e344,0,0,e344,0,0,0,0,0,0
e345,0,e345,0,0,e345,0,0,e345,0,e345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e156,0,0,e156,0
e346,0,0,e346,0,0,0,0,0,0,0,0,0,0,0,-e315,0,-e315,-e315,0,0,0,0,0,0,0,0,0,0,0,0,0
e355,0,0,e355,0,0,e355,0,-e344,e344,0,0,0,e344,0,e344,0,0,0,e344,0,0,e344,0,0,e344,0,0,0,0,0,0
e356,0,e356,0,0,0,0,0,0,0,0,0,0,0,0,e314,0,0,e314,e314,0,e314,0,0,0,0,0,0,0,0,0,0
e366,0,0,e366,0,0,e366,0,0,e366,0,0,0,e366,0,e311/2 - e312/2,0,0,0,e311/2 - e312/2,0,0,e311/2 - e312/2,0,0,e311/2 - e312/2,0,0,0,0,0,0
