1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11
c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12,c12
c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c12,c12,c12,c12,c12,c12
c14,c14,0,0,0,0,0,0,0,0,0,0,0,0,0,c14,c14,c14,c14,c14,0,0,0,0,0,0,0,0,0,0,0,0,0
c15,c15,c15,c15,c15,0,0,0,0,0,0,0,0,0,0,c15,c15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16,c16,0,0,0,0,0,0,c16,c16,0,0,c16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c22,c22,c22,c22,c22,c22,c22,c22,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11,c11
c23,c23,c23,c23,c23,c23,c23,c23,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c13,c12,c12,c12,c12,c12,c12
c24,c24,0,0,0,0,0,0,0,0,0,0,0,0,0,-c14,-c14,-c14,-c14,-c14,0,0,0,0,0,0,0,0,0,0,0,0,0
c25,c25,c25,c25,c25,0,0,0,0,0,0,0,0,0,0,-c15,-c15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c26,c26,0,0,0,0,0,0,-c16,-c16,0,0,-c16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c33,c11,c11,c11,c11,c11,c11
c34,c34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c35,c35,c35,c35,c35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c36,c36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c11/2 - c12/2
c45,c45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c46,c46,c46,c46,c46,0,0,0,0,0,0,0,0,0,0,-c15,-c15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c55,c55,c55,c55,c55,c55,c55,c55,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c44,c11/2 - c12/2
c56,c56,0,0,0,0,0,0,0,0,0,0,0,0,0,c14,c14,c14,c14,c14,0,0,0,0,0,0,0,0,0,0,0,0,0
c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c66,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c11/2 - c12/2,c44,c44,c44,c44,c44,c11/2 - c12/2
