1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
e11,0,0,e11,0,0,0,0,0,0,0,0,0,0,0,e11,0,e11,0,0,e11,0,0,0,0,0,0,0,0,0,0,0,0
e12,0,0,e12,0,0,0,0,0,0,0,0,0,0,0,-e11,0,-e11,0,0,-e11,0,0,0,0,0,0,0,0,0,0,0,0
e13,0,0,e13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e14,0,e14,0,0,e14,0,0,e14,e14,e14,e14,0,0,0,e14,0,e14,0,0,0,0,e14,e14,0,0,0,e14,0,0,e14,0,0
e15,0,0,e15,0,0,e15,0,e15,e15,0,0,0,e15,0,e15,0,0,e15,0,0,0,e15,0,0,e15,0,0,0,0,0,0,0
e16,0,e16,0,0,0,0,0,0,0,0,0,0,0,0,e16,0,0,e16,0,e16,e16,0,0,0,0,0,0,0,0,0,0,0
e21,0,e21,0,0,0,0,0,0,0,0,0,0,0,0,e16,0,0,e16,0,e16,e16,0,0,0,0,0,0,0,0,0,0,0
e22,0,e22,0,0,0,0,0,0,0,0,0,0,0,0,-e16,0,0,-e16,0,-e16,-e16,0,0,0,0,0,0,0,0,0,0,0
e23,0,e23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e24,0,0,e24,0,0,e24,0,-e15,e15,0,0,0,e15,0,e15,0,0,e15,0,0,0,e15,0,0,e15,0,0,0,0,0,0,0
e25,0,e25,0,0,e25,0,0,e14,-e14,e14,-e14,0,0,0,-e14,0,-e14,0,0,0,0,-e14,-e14,0,0,0,e14,0,0,e14,0,0
e26,0,0,e26,0,0,0,0,0,0,0,0,0,0,0,-e11,0,-e11,0,0,-e11,0,0,0,0,0,0,0,0,0,0,0,0
e31,0,0,e31,0,0,e31,0,e31,e31,0,0,0,e31,0,e31,0,0,e31,0,0,0,e31,0,0,e31,0,0,0,0,0,0,0
e32,0,0,e32,0,0,e32,0,-e31,e31,0,0,0,e31,0,e31,0,0,e31,0,0,0,e31,0,0,e31,0,0,0,0,0,0,0
e33,0,0,e33,0,0,e33,0,0,e33,0,0,0,e33,0,e33,0,0,e33,0,0,0,e33,0,0,e33,0,0,0,0,0,0,0
e34,0,e34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e35,0,0,e35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e36,0,e36,0,0,e36,0,0,e36,0,e36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e14,0,0,e14,0,0
