1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d11,0,0,d11,0,0,0,0,0,0,0,0,0,0,0,d11,0,d11,0,0,d11,0,0,0,0,0,0,0,0,0,0,0,0
d12,0,0,d12,0,0,0,0,0,0,0,0,0,0,0,d12,0,d12,0,0,d12,0,0,0,0,0,0,0,0,0,0,0,0
d13,0,0,d13,0,0,0,0,0,0,0,0,0,0,0,d13,0,d13,0,0,d13,0,0,0,0,0,0,0,0,0,0,0,0
d14,0,d14,0,0,d14,0,0,d14,d14,d14,d14,0,0,0,d14,0,d14,0,0,0,0,d14,d14,0,0,0,d14,0,0,d14,0,0
d15,0,0,d15,0,0,d15,0,d15,d15,0,0,0,d15,0,d15,0,0,d15,0,0,0,d15,0,0,d15,0,0,0,0,0,0,0
d16,0,d16,0,0,0,0,0,0,0,0,0,0,0,0,d16,0,0,d16,0,d16,d16,0,0,0,0,0,0,0,0,0,0,0
d21,0,d21,0,0,0,0,0,0,0,0,0,0,0,0,d21,0,0,d21,0,d21,d21,0,0,0,0,0,0,0,0,0,0,0
d22,0,d22,0,0,0,0,0,0,0,0,0,0,0,0,d21 - 2*d16,0,0,d21 - 2*d16,0,d21 - 2*d16,d21 - 2*d16,0,0,0,0,0,0,0,0,0,0,0
d23,0,d23,0,0,0,0,0,0,0,0,0,0,0,0,d23,0,0,d23,0,d23,d23,0,0,0,0,0,0,0,0,0,0,0
d24,0,0,d24,0,0,d24,0,-d15,d15,0,0,0,d15,0,d15,0,0,d15,0,0,0,d15,0,0,d15,0,0,0,0,0,0,0
d25,0,d25,0,0,d25,0,0,d14,-d14,d14,-d14,0,0,0,-d14,0,-d14,0,0,0,0,-d14,-d14,0,0,0,d14,0,0,d14,0,0
d26,0,0,d26,0,0,0,0,0,0,0,0,0,0,0,d12/2 - d11/2,0,d12/2 - d11/2,0,0,d12/2 - d11/2,0,0,0,0,0,0,0,0,0,0,0,0
d31,0,0,d31,0,0,d31,0,d31,d31,0,0,0,d31,0,d31,0,0,d31,0,0,0,d31,0,0,d31,0,0,0,0,0,0,0
d32,0,0,d32,0,0,d32,0,-d31,d31,0,0,0,d31,0,d31,0,0,d31,0,0,0,d31,0,0,d31,0,0,0,0,0,0,0
