1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 d22335,0, d22335,0,0, d22335,0,0,  d11334, -d11334, d11334, -d11334,0,0,0,                                                                                                -d11334,0,                                                                                                -d11334,0,0,0,0,                                                                                                -d11334,                                                                                                -d11334,0,0,0, d11224,  d11224,0, d11224,0,0
 d22336,0,0, d22336,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d11233/2 - d11133/2,0,                                                                                    d11233/2 - d11133/2,0,0,                                                       d11233/2 - d11133/2,0,0,0,0,0,0,0,0,0,0,0,0
 d22344,0, d22344,0,0,0,0,0,0,0,0,0,0,0,0,                                                                       d12345/2 - (3*d11345)/2 - d13446,0,0,                                                                       d12345/2 - (3*d11345)/2 - d13446,0,                                          d12345/2 - (3*d11345)/2 - d13446,                                        d12345/2 - (3*d11345)/2 - d13446,0,0,0,0,0,0,0,0,0,0,0
 d22345,0,0, d22345,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d11344/2 - d11355/2,0,                                                                                    d11344/2 - d11355/2,0,0,                                                       d11344/2 - d11355/2,0,0,0,0,0,0,0,0,0,0,0,0
 d22346,0, d22346,0,0, d22346,0,0,  d11356, -d11356, d11356, -d11356,0,0,0,                                                                           d11134/2 + d11356 - d12234/2,0,                                                                           d11134/2 + d11356 - d12234/2,0,0,0,0,                                                                           d11134/2 + d11356 - d12234/2,                                                                           d11134/2 + d11356 - d12234/2,0,0,0, d11256,  d11256,0, d11256,0,0
 d22355,0, d22355,0,0,0,0,0,0,0,0,0,0,0,0,                                                                           d11345/2 + d12345/2 - d13446,0,0,                                                                           d11345/2 + d12345/2 - d13446,0,                                              d11345/2 + d12345/2 - d13446,                                            d11345/2 + d12345/2 - d13446,0,0,0,0,0,0,0,0,0,0,0
 d22356,0,0, d22356,0,0, d22356,0, -d11346,  d11346,0,0,0, d11346,0,                                                                           d11135/2 - d11346 - d12235/2,0,0,                                                                           d11135/2 - d11346 - d12235/2,0,0,0,                                                                           d11135/2 - d11346 - d12235/2,0,0,                                                                           d11135/2 - d11346 - d12235/2,0,0,0,0,0,0,0
 d22366,0, d22366,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d11236/2 - d12236/2,0,0,                                                                                    d11236/2 - d12236/2,0,                                                       d11236/2 - d12236/2,                                                     d11236/2 - d12236/2,0,0,0,0,0,0,0,0,0,0,0
 d22444,0,0, d22444,0,0, d22444,0, -d11555,  d11555,0,0,0, d11555,0,                                                                   (3*d11555)/2 - (3*d12445)/2 - d14446,0,0,                                                                   (3*d11555)/2 - (3*d12445)/2 - d14446,0,0,0,                                                                   (3*d11555)/2 - (3*d12445)/2 - d14446,0,0,                                                                   (3*d11555)/2 - (3*d12445)/2 - d14446,0,0,0,0,0,0,0
 d22445,0, d22445,0,0, d22445,0,0,  d11455, -d11455, d11455, -d11455,0,0,0,                                                                d12444/6 - d11455/2 - d11444/3 - d14456,0,                                                                d12444/6 - d11455/2 - d11444/3 - d14456,0,0,0,0,                                                                d12444/6 - d11455/2 - d11444/3 - d14456,                                                                d12444/6 - d11455/2 - d11444/3 - d14456,0,0,0, d11466, -d11455,0, d11455,0,0
 d22446,0,0, d22446,0,0,0,0,0,0,0,0,0,0,0,                                    - d11144/4 - (3*d11155)/4 - d11244/4 - d11255/4 - d11456 - d12244/2,0,                                    - d11144/4 - (3*d11155)/4 - d11244/4 - d11255/4 - d11456 - d12244/2,0,0,       - d11144/4 - (3*d11155)/4 - d11244/4 - d11255/4 - d11456 - d12244/2,0,0,0,0,0,0,0,0,0,0,0,0
 d22455,0,0, d22455,0,0, d22455,0, -d11445,  d11445,0,0,0, d11445,0,                                                              d11445 - d11555/2 + (3*d12445)/2 + d14446,0,0,                                                              d11445 - d11555/2 + (3*d12445)/2 + d14446,0,0,0,                                                              d11445 - d11555/2 + (3*d12445)/2 + d14446,0,0,                                                              d11445 - d11555/2 + (3*d12445)/2 + d14446,0,0,0,0,0,0,0
 d22456,0, d22456,0,0,0,0,0,0,0,0,0,0,0,0,                                                              d11145/2 + d11446/2 - d11556/2 - d12245/2,0,0,                                                              d11145/2 + d11446/2 - d11556/2 - d12245/2,0,                                 d11145/2 + d11446/2 - d11556/2 - d12245/2,                               d11145/2 + d11446/2 - d11556/2 - d12245/2,0,0,0,0,0,0,0,0,0,0,0
 d22466,0,0, d22466,0,0, d22466,0, -d11566,  d11566,0,0,0, d11566,0,                             d11115/8 - d11125/2 + d11146/2 + d11225/8 + d11246/2 - d11566/2 + d12225/4,0,0,                             d11115/8 - d11125/2 + d11146/2 + d11225/8 + d11246/2 - d11566/2 + d12225/4,0,0,0,                             d11115/8 - d11125/2 + d11146/2 + d11225/8 + d11246/2 - d11566/2 + d12225/4,0,0,                             d11115/8 - d11125/2 + d11146/2 + d11225/8 + d11246/2 - d11566/2 + d12225/4,0,0,0,0,0,0,0
 d22555,0, d22555,0,0, d22555,0,0,  d11444, -d11444, d11444, -d11444,0,0,0,                                                            d14456 - d11455/2 - d12444/6 - (2*d11444)/3,0,                                                            d14456 - d11455/2 - d12444/6 - (2*d11444)/3,0,0,0,0,                                                            d14456 - d11455/2 - d12444/6 - (2*d11444)/3,                                                            d14456 - d11455/2 - d12444/6 - (2*d11444)/3,0,0,0, d11444,0,0, d11444,0,0
 d22556,0,0, d22556,0,0,0,0,0,0,0,0,0,0,0,                                  d11155/4 - d11144/4 + (3*d11244)/4 + (3*d11255)/4 + d11456 + d12244/2,0,                                  d11155/4 - d11144/4 + (3*d11244)/4 + (3*d11255)/4 + d11456 + d12244/2,0,0,     d11155/4 - d11144/4 + (3*d11244)/4 + (3*d11255)/4 + d11456 + d12244/2,0,0,0,0,0,0,0,0,0,0,0,0
