1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111,c1111
c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112,c1112
c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1113,c1112,c1113,c1112,c1112,c1112
c1114,c1114,0,0,0,0,0,0,0,0,0,0,0,0,0,c1114,c1114,c1114,c1114,c1114,0,0,0,0,0,0,0,0,0,0,0,0,0
c1115,c1115,c1115,c1115,c1115,0,0,0,0,0,0,0,0,0,0,c1115,c1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1116,c1116,0,0,0,0,0,0,c1116,c1116,0,0,c1116,0,0,c1116,c1116,0,0,0,c1116,0,c1116,0,c1116,0,0,0,0,0,0,0,0
c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122,c1122
c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123,c1123
c1124,c1124,0,0,0,0,0,0,0,0,0,0,0,0,0,c1124,c1124,c1124,c1124,c1124,0,0,0,0,0,0,0,0,0,0,0,0,0
c1125,c1125,c1125,c1125,c1125,0,0,0,0,0,0,0,0,0,0,c1125,c1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
