1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d111,0,0,d111,0,0,0,0,0,0,0,0,0,0,0,d111,0,d111,0,0,d111,0,0,0,0,0,0,0,0,0,0,0,0
d112,0,0,d112,0,0,0,0,0,0,0,0,0,0,0,d112,0,d112,0,0,d112,0,0,0,0,0,0,0,0,0,0,0,0
d113,0,0,d113,0,0,0,0,0,0,0,0,0,0,0,d113,0,d113,0,0,d113,0,0,0,0,0,0,0,0,0,0,0,0
d114,0,d114,0,0,d114,0,0,d114,d114,d114,d114,0,0,0,d114,0,d114,0,0,0,0,d114,d114,0,0,0,d114,0,0,d114,0,0
d115,0,0,d115,0,0,d115,0,d115,d115,0,0,0,d115,0,d115,0,0,d115,0,0,0,d115,0,0,d115,0,0,0,0,0,0,0
d116,0,d116,0,0,0,0,0,0,0,0,0,0,0,0,d116,0,0,d116,0,d116,d116,0,0,0,0,0,0,0,0,0,0,0
d122,0,0,d122,0,0,0,0,0,0,0,0,0,0,0,- d111 - 2*d112,0,- d111 - 2*d112,0,0,- d111 - 2*d112,0,0,0,0,0,0,0,0,0,0,0,0
d123,0,0,d123,0,0,0,0,0,0,0,0,0,0,0,-d113,0,-d113,0,0,-d113,0,0,0,0,0,0,0,0,0,0,0,0
d124,0,d124,0,0,d124,0,0,d124,d124,d124,d124,0,0,0,d124,0,d124,0,0,0,0,d124,d124,0,0,0,d124,d124,0,d124,0,0
d125,0,0,d125,0,0,d125,0,d125,d125,0,0,0,d125,0,d125,0,0,d125,0,0,0,d125,0,0,d125,0,0,0,0,0,0,0
d126,0,d126,0,0,0,0,0,0,0,0,0,0,0,0,d126,0,0,d126,0,d126,d126,0,0,0,0,0,0,0,0,0,0,0
d133,0,0,d133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d134,0,d134,0,0,d134,0,0,d134,d134,d134,d134,0,0,0,d134,0,d134,0,0,0,0,d134,d134,0,0,0,d134,-d124,0,d124,0,0
d135,0,0,d135,0,0,d135,0,d135,d135,0,0,0,d135,0,d135,0,0,d135,0,0,0,d135,0,0,d135,0,0,0,0,0,0,0
d136,0,d136,0,0,0,0,0,0,0,0,0,0,0,0,d136,0,0,d136,0,d136,d136,0,0,0,0,0,0,0,0,0,0,0
d144,0,0,d144,0,0,0,0,0,0,0,0,0,0,0,d144,0,d144,0,0,d144,0,0,0,0,0,0,0,0,0,0,0,0
d145,0,d145,0,0,0,0,0,0,0,0,0,0,0,0,d145,0,0,d145,0,d145,d145,0,0,0,0,0,0,0,0,0,0,0
d146,0,0,d146,0,0,d146,0,d146,d146,0,0,0,d146,0,d115/2 - d125/2,0,0,d115/2 - d125/2,0,0,0,d115/2 - d125/2,0,0,d115/2 - d125/2,0,0,0,0,0,0,0
d155,0,0,d155,0,0,0,0,0,0,0,0,0,0,0,-d144,0,-d144,0,0,-d144,0,0,0,0,0,0,0,0,0,0,0,0
