1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 c11111, c11111, c11111, c11111, c11111, c11111, c11111, c11111,  c11111,  c11111, c11111, c11111,  c11111, c11111, c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111,                                                                c11111, c11111, c11111, c11111, c11111, c11111,                                                           c11111
 c11112, c11112, c11112, c11112, c11112, c11112, c11112, c11112,  c11112,  c11112, c11112, c11112,  c11112, c11112, c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112,                                                                c11112, c11112, c11112, c11112, c11112, c11112,                                                           c11112
 c11113, c11113, c11113, c11113, c11113, c11113, c11113, c11113,  c11113,  c11113, c11113, c11113,  c11113, c11113, c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113,                                                                c11113, c11113, c11112, c11113, c11112, c11112,                                                           c11112
 c11114, c11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11115, c11115, c11115, c11115, c11115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11116, c11116,0,0,0,0,0,0,  c11116,  c11116,0,0,  c11116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11122, c11122, c11122, c11122, c11122, c11122, c11122, c11122,  c11122,  c11122, c11122, c11122,  c11122, c11122, c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122, c11122, c11122, c11122, c11122, c11122,                                                           c11122
 c11123, c11123, c11123, c11123, c11123, c11123, c11123, c11123,  c11123,  c11123, c11123, c11123,  c11123, c11123, c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123,                                                                c11123, c11123, c11123, c11123, c11123, c11123,                                                           c11123
 c11124, c11124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11125, c11125, c11125, c11125, c11125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11126, c11126,0,0,0,0,0,0,  c11126,  c11126,0,0,  c11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11133, c11133, c11133, c11133, c11133, c11133, c11133, c11133,  c11133,  c11133, c11133, c11133,  c11133, c11133, c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133,                                                                c11133, c11133, c11122, c11133, c11122, c11122,                                                           c11122
 c11134, c11134,0,0,0,0,0,0,0,0,0,0,0,0,0,                                                                c11134,                                                                c11134,                                                                c11134,                                                                c11134,                                                                c11134,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11135, c11135, c11135, c11135, c11135,0,0,0,0,0,0,0,0,0,0,                                                                c11135,                                                                c11135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11136, c11136,0,0,0,0,0,0,  c11136,  c11136,0,0,  c11136,0,0,                                                                c11136,                                                                c11136,0,0,0,                                                                c11136,0,                                                                c11136,0,                                                                c11136,0,0,0,0,0,0,0,0
 c11144, c11144, c11144, c11144, c11144, c11144, c11144, c11144,  c11144,  c11144, c11144, c11144,  c11144, c11144, c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144,                                                                c11144, c11144, c11144, c11144, c11144, c11144,                                              c11122/2 - c11123/2
 c11145, c11145,0,0,0,0,0,0,  c11145,  c11145,0,0,  c11145,0,0,                                                                c11145,                                                                c11145,0,0,0,                                                                c11145,0,                                                                c11145,0,                                                                c11145,0,0,0,0,0,0,0,0
 c11146, c11146, c11146, c11146, c11146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11155, c11155, c11155, c11155, c11155, c11155, c11155, c11155,  c11155,  c11155, c11155, c11155,  c11155, c11155, c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155,                                                                c11155, c11155, c11155, c11155, c11155, c11155,                                              c11111/8 - c11112/8
 c11156, c11156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11166, c11166, c11166, c11166, c11166, c11166, c11166, c11166,  c11166,  c11166, c11166, c11166,  c11166, c11166, c11166,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8,                                                   c11111/8 - c11112/8, c11166, c11155, c11166, c11155, c11155,                                              c11111/8 - c11112/8
 c11222, c11222, c11222, c11222, c11222, c11222, c11222, c11222,  c11122,  c11122, c11122, c11122,  c11122, c11122, c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122,                                                                c11122, c11133, c11122, c11133, c11122, c11122,                                                           c11122
 c11223, c11223, c11223, c11223, c11223, c11223, c11223, c11223,  c11223,  c11223, c11223, c11223,  c11223, c11223, c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223,                                                                c11223, c11223, c11223, c11223, c11223, c11223,                                                           c11223
 c11224, c11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11225, c11225, c11225, c11225, c11225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 c11226, c11226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
